"scene","low_light_image","day_target_image","low_light_reason"
"00000064","00000064/109.jpg","00000064/89.jpg","night=0.687, dark=0.505, dawndusk=0.551, daylight=0.256"
"00000064","00000064/118.jpg","00000064/89.jpg","night=0.572, daylight=0.136"
"00000064","00000064/152.jpg","00000064/89.jpg","night=0.815, dark=0.800, dawndusk=0.801, daylight=0.332"
"00000064","00000064/153.jpg","00000064/89.jpg","night=0.986, dark=0.916, dawndusk=0.949, daylight=0.136"
"00000064","00000064/23.jpg","00000064/89.jpg","night=0.639, daylight=0.136"
"00000064","00000064/24.jpg","00000064/89.jpg","night=0.687, dawndusk=0.608, daylight=0.136"
"00000064","00000064/245.jpg","00000064/89.jpg","night=0.810, dark=0.916, dawndusk=0.688, daylight=0.024"
"00000064","00000064/25.jpg","00000064/89.jpg","night=0.986, dark=0.916, dawndusk=0.801, daylight=0.024"
"00000064","00000064/26.jpg","00000064/89.jpg","night=0.687, dawndusk=0.551, daylight=0.136"
"00000064","00000064/35.jpg","00000064/89.jpg","dark=0.916, dawndusk=0.551, daylight=0.332"
"00000064","00000064/46.jpg","00000064/89.jpg","night=0.810, dark=0.505, dawndusk=0.676, daylight=0.136"
"00000064","00000064/52.jpg","00000064/89.jpg","night=0.986, dark=0.916, dawndusk=0.551, daylight=0.024"
"00000064","00000064/54.jpg","00000064/89.jpg","night=0.863, dark=0.820, dawndusk=0.801, daylight=0.144"
"00000090","00000090/10.jpg","00000090/113.jpg","dark=0.812, daylight=0.244"
"00000090","00000090/11.jpg","00000090/113.jpg","night=0.846, dark=0.649, daylight=0.137"
"00000090","00000090/124.jpg","00000090/113.jpg","dark=0.500, daylight=0.244"
"00000090","00000090/147.jpg","00000090/113.jpg","night=0.955, dark=0.956, daylight=0.031"
"00000090","00000090/149.jpg","00000090/113.jpg","night=0.955, dark=0.599, daylight=0.244"
"00000090","00000090/15.jpg","00000090/113.jpg","dark=0.567, daylight=0.137"
"00000090","00000090/165.jpg","00000090/113.jpg","night=0.955, dark=1.000, daylight=0.031"
"00000090","00000090/174.jpg","00000090/113.jpg","night=0.934, dark=1.000, dawndusk=1.000, daylight=0.244"
