scene,low_light_image,day_target_image,low_light_reason,repo_id
64,00000064/109.jpg,00000064/89.jpg,"night=0.687, dark=0.505, dawndusk=0.551, daylight=0.256",tyakovenko/night-to-day-enhancement
64,00000064/118.jpg,00000064/89.jpg,"night=0.572, daylight=0.136",tyakovenko/night-to-day-enhancement
64,00000064/152.jpg,00000064/89.jpg,"night=0.815, dark=0.800, dawndusk=0.801, daylight=0.332",tyakovenko/night-to-day-enhancement
64,00000064/153.jpg,00000064/89.jpg,"night=0.986, dark=0.916, dawndusk=0.949, daylight=0.136",tyakovenko/night-to-day-enhancement
64,00000064/23.jpg,00000064/89.jpg,"night=0.639, daylight=0.136",tyakovenko/night-to-day-enhancement
64,00000064/24.jpg,00000064/89.jpg,"night=0.687, dawndusk=0.608, daylight=0.136",tyakovenko/night-to-day-enhancement
64,00000064/245.jpg,00000064/89.jpg,"night=0.810, dark=0.916, dawndusk=0.688, daylight=0.024",tyakovenko/night-to-day-enhancement
64,00000064/25.jpg,00000064/89.jpg,"night=0.986, dark=0.916, dawndusk=0.801, daylight=0.024",tyakovenko/night-to-day-enhancement
64,00000064/26.jpg,00000064/89.jpg,"night=0.687, dawndusk=0.551, daylight=0.136",tyakovenko/night-to-day-enhancement
64,00000064/35.jpg,00000064/89.jpg,"dark=0.916, dawndusk=0.551, daylight=0.332",tyakovenko/night-to-day-enhancement
64,00000064/46.jpg,00000064/89.jpg,"night=0.810, dark=0.505, dawndusk=0.676, daylight=0.136",tyakovenko/night-to-day-enhancement
64,00000064/52.jpg,00000064/89.jpg,"night=0.986, dark=0.916, dawndusk=0.551, daylight=0.024",tyakovenko/night-to-day-enhancement
64,00000064/54.jpg,00000064/89.jpg,"night=0.863, dark=0.820, dawndusk=0.801, daylight=0.144",tyakovenko/night-to-day-enhancement
90,00000090/10.jpg,00000090/113.jpg,"dark=0.812, daylight=0.244",tyakovenko/night-to-day-enhancement
90,00000090/11.jpg,00000090/113.jpg,"night=0.846, dark=0.649, daylight=0.137",tyakovenko/night-to-day-enhancement
90,00000090/124.jpg,00000090/113.jpg,"dark=0.500, daylight=0.244",tyakovenko/night-to-day-enhancement
90,00000090/147.jpg,00000090/113.jpg,"night=0.955, dark=0.956, daylight=0.031",tyakovenko/night-to-day-enhancement
90,00000090/149.jpg,00000090/113.jpg,"night=0.955, dark=0.599, daylight=0.244",tyakovenko/night-to-day-enhancement
90,00000090/15.jpg,00000090/113.jpg,"dark=0.567, daylight=0.137",tyakovenko/night-to-day-enhancement
90,00000090/165.jpg,00000090/113.jpg,"night=0.955, dark=1.000, daylight=0.031",tyakovenko/night-to-day-enhancement
90,00000090/174.jpg,00000090/113.jpg,"night=0.934, dark=1.000, dawndusk=1.000, daylight=0.244",tyakovenko/night-to-day-enhancement
90,00000090/21.jpg,00000090/113.jpg,"night=0.955, dark=0.956, daylight=0.031",tyakovenko/night-to-day-enhancement
90,00000090/22.jpg,00000090/113.jpg,"night=0.725, daylight=0.266",tyakovenko/night-to-day-enhancement
90,00000090/235.jpg,00000090/113.jpg,"night=0.747, dark=1.000, daylight=0.031",tyakovenko/night-to-day-enhancement
90,00000090/257.jpg,00000090/113.jpg,"dawndusk=0.658, daylight=0.188",tyakovenko/night-to-day-enhancement
90,00000090/27.jpg,00000090/113.jpg,"dark=0.887, dawndusk=0.754, daylight=0.031",tyakovenko/night-to-day-enhancement
90,00000090/28.jpg,00000090/113.jpg,"night=0.626, dark=0.694, daylight=0.031",tyakovenko/night-to-day-enhancement
90,00000090/287.jpg,00000090/113.jpg,"night=0.730, dark=0.562, dawndusk=0.856, daylight=0.031",tyakovenko/night-to-day-enhancement
90,00000090/37.jpg,00000090/113.jpg,"dark=0.819, daylight=0.137",tyakovenko/night-to-day-enhancement
90,00000090/39.jpg,00000090/113.jpg,"dawndusk=0.701, daylight=0.367",tyakovenko/night-to-day-enhancement
90,00000090/4.jpg,00000090/113.jpg,"night=0.955, dark=1.000, daylight=0.031",tyakovenko/night-to-day-enhancement
90,00000090/46.jpg,00000090/113.jpg,"night=0.955, dark=0.824, dawndusk=0.941, daylight=0.244",tyakovenko/night-to-day-enhancement
90,00000090/47.jpg,00000090/113.jpg,"dawndusk=0.554, daylight=0.244",tyakovenko/night-to-day-enhancement
90,00000090/59.jpg,00000090/113.jpg,"dawndusk=0.546, daylight=0.031",tyakovenko/night-to-day-enhancement
90,00000090/6.jpg,00000090/113.jpg,"night=1.000, dark=0.587, daylight=0.244",tyakovenko/night-to-day-enhancement
90,00000090/60.jpg,00000090/113.jpg,"night=0.955, dark=0.949, daylight=0.031",tyakovenko/night-to-day-enhancement
90,00000090/63.jpg,00000090/113.jpg,"night=0.955, dark=1.000, daylight=0.031",tyakovenko/night-to-day-enhancement
90,00000090/82.jpg,00000090/113.jpg,"night=0.955, dark=1.000, daylight=0.031",tyakovenko/night-to-day-enhancement
90,00000090/84.jpg,00000090/113.jpg,"dark=0.956, daylight=0.031",tyakovenko/night-to-day-enhancement
162,00000162/119.jpg,00000162/156.jpg,"night=1.000, dark=1.000, dawndusk=0.947, daylight=0.156",tyakovenko/night-to-day-enhancement
162,00000162/135.jpg,00000162/156.jpg,"night=1.000, dark=0.944, dawndusk=0.947, daylight=0.019",tyakovenko/night-to-day-enhancement
162,00000162/141.jpg,00000162/156.jpg,"night=0.625, daylight=0.225",tyakovenko/night-to-day-enhancement
162,00000162/154.jpg,00000162/156.jpg,"night=1.000, daylight=0.156",tyakovenko/night-to-day-enhancement
162,00000162/157.jpg,00000162/156.jpg,"night=1.000, dark=0.944, daylight=0.019",tyakovenko/night-to-day-enhancement
162,00000162/17.jpg,00000162/156.jpg,"night=1.000, dark=1.000, daylight=0.019",tyakovenko/night-to-day-enhancement
162,00000162/205.jpg,00000162/156.jpg,"night=1.000, dark=0.944, daylight=0.019",tyakovenko/night-to-day-enhancement
162,00000162/206.jpg,00000162/156.jpg,"night=1.000, dark=0.944, daylight=0.019",tyakovenko/night-to-day-enhancement
162,00000162/232.jpg,00000162/156.jpg,"dark=0.770, dawndusk=0.555, daylight=0.019",tyakovenko/night-to-day-enhancement
162,00000162/233.jpg,00000162/156.jpg,"dark=0.600, dawndusk=0.772, daylight=0.225",tyakovenko/night-to-day-enhancement
162,00000162/265.jpg,00000162/156.jpg,"night=1.000, dark=0.944, dawndusk=0.947, daylight=0.156",tyakovenko/night-to-day-enhancement
162,00000162/277.jpg,00000162/156.jpg,"night=0.503, daylight=0.019",tyakovenko/night-to-day-enhancement
162,00000162/280.jpg,00000162/156.jpg,"dark=0.581, daylight=0.374",tyakovenko/night-to-day-enhancement
162,00000162/291.jpg,00000162/156.jpg,"dark=0.638, dawndusk=0.947, daylight=0.294",tyakovenko/night-to-day-enhancement
162,00000162/37.jpg,00000162/156.jpg,"night=0.917, dark=0.741, daylight=0.019",tyakovenko/night-to-day-enhancement
162,00000162/38.jpg,00000162/156.jpg,"night=1.000, dark=0.874, daylight=0.019",tyakovenko/night-to-day-enhancement
162,00000162/44.jpg,00000162/156.jpg,"night=1.000, dark=1.000, daylight=0.019",tyakovenko/night-to-day-enhancement
162,00000162/56.jpg,00000162/156.jpg,"dark=0.573, dawndusk=0.947, daylight=0.156",tyakovenko/night-to-day-enhancement
162,00000162/61.jpg,00000162/156.jpg,"night=1.000, dark=1.000, dawndusk=0.555, daylight=0.019",tyakovenko/night-to-day-enhancement
162,00000162/7.jpg,00000162/156.jpg,"night=1.000, dark=1.000, daylight=0.019",tyakovenko/night-to-day-enhancement
162,00000162/73.jpg,00000162/156.jpg,"dark=0.644, dawndusk=0.772, daylight=0.087",tyakovenko/night-to-day-enhancement
162,00000162/8.jpg,00000162/156.jpg,"night=1.000, dark=0.789, daylight=0.019",tyakovenko/night-to-day-enhancement
162,00000162/85.jpg,00000162/156.jpg,"night=1.000, dark=0.874, daylight=0.087",tyakovenko/night-to-day-enhancement
162,00000162/9.jpg,00000162/156.jpg,"night=1.000, dark=1.000, daylight=0.019",tyakovenko/night-to-day-enhancement
162,00000162/90.jpg,00000162/156.jpg,"night=1.000, dark=1.000, daylight=0.019",tyakovenko/night-to-day-enhancement
162,00000162/94.jpg,00000162/156.jpg,"dark=0.638, dawndusk=0.772, daylight=0.294",tyakovenko/night-to-day-enhancement
260,00000260/103.jpg,00000260/152.jpg,"night=0.825, dark=0.876, dawndusk=0.656, daylight=0.029",tyakovenko/night-to-day-enhancement
260,00000260/120.jpg,00000260/152.jpg,"night=0.727, dark=0.501, dawndusk=0.727, daylight=0.089",tyakovenko/night-to-day-enhancement
260,00000260/14.jpg,00000260/152.jpg,"night=0.716, dark=0.548, dawndusk=0.667, daylight=0.089",tyakovenko/night-to-day-enhancement
260,00000260/17.jpg,00000260/152.jpg,"night=0.577, daylight=0.258",tyakovenko/night-to-day-enhancement
260,00000260/19.jpg,00000260/152.jpg,"night=0.577, dark=0.525, daylight=0.150",tyakovenko/night-to-day-enhancement
260,00000260/217.jpg,00000260/152.jpg,"night=0.716, dawndusk=0.595, daylight=0.089",tyakovenko/night-to-day-enhancement
260,00000260/218.jpg,00000260/152.jpg,"night=0.577, daylight=0.198",tyakovenko/night-to-day-enhancement
260,00000260/219.jpg,00000260/152.jpg,"night=0.577, dawndusk=0.727, daylight=0.198",tyakovenko/night-to-day-enhancement
260,00000260/249.jpg,00000260/152.jpg,"night=0.727, daylight=0.198",tyakovenko/night-to-day-enhancement
